p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AA_CHARGE	DGLA_CHARGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AA_CHARGE	DHA_CHARGE	-0.018	0.5024	-0.0359	0.9714	0.1066	0.0509	0.9963	0.0064	0.1368	0.0039
AA_CHARGE	DHA_pct_UKB	0.5204	0.4793	1.0857	0.2776	0.0949	0.0067	1.0121	0.0081	-0.0002	0.0047
AA_CHARGE	DHA_UKB	0.7353	0.8086	0.9093	0.3632	0.0792	0.0061	1.0278	0.0087	-0.0026	0.0048
AA_CHARGE	DPA_CHARGE	1.4736	0.8948	1.6468	0.0996	0.071	0.0475	1.006	0.0065	0.1905	0.0044
AA_CHARGE	EPA_CHARGE	NA	NA	NA	NA	-0.2578	0.047	1.0647	0.0065	0.1275	0.0042
AA_CHARGE	GLA_CHARGE	NA	NA	NA	NA	-0.103	0.0506	1.0206	0.0063	0.0907	0.0043
AA_CHARGE	INS_ukb-b-3957	-0.0845	0.1349	-0.6263	0.5311	0.0517	0.0017	1.0459	0.0085	0.0043	0.0049
AA_CHARGE	LA_CHARGE	-4.6329	4.1991	-1.1033	0.2699	0.0413	0.0457	1.0059	0.006	-0.4815	0.0049
AA_CHARGE	LA_pct_UKB	-0.5277	0.5128	-1.029	0.3035	0.0974	0.0059	1.023	0.0079	0.0061	0.0044
AA_CHARGE	LA_UKB	-0.0453	0.2664	-0.1699	0.8651	0.0668	0.0066	1.0189	0.0083	-0.0012	0.0047
AA_CHARGE	MDD_22472876	0.1496	0.2576	0.5806	0.5615	0.1582	0.0298	1.0165	0.0086	-0.0056	0.0061
AA_CHARGE	MDD_30718901	-0.2095	0.1392	-1.5046	0.1324	0.0504	0.0018	1.0188	0.0089	0.0018	0.0048
AA_CHARGE	MooD_ukb-d-KRA_PSY_MOOD	0.3289	0.415	0.7925	0.4281	0.0057	0.0012	0.996	0.0066	-0.0034	0.0042
AA_CHARGE	OCD_28761083	0.1187	0.2427	0.4892	0.6247	0.3095	0.0473	0.9934	0.0067	0.0035	0.0046
AA_CHARGE	Omega_3_pct_UKB	0.9987	1.1652	0.8571	0.3914	0.0743	0.0055	1.0193	0.0076	-0.0024	0.0048
AA_CHARGE	Omega_3_UKB	1.0884	1.7908	0.6078	0.5433	0.068	0.0057	1.0344	0.0086	-0.0041	0.0048
AA_CHARGE	Omega_6_by_Omega_3_UKB	-1.1377	1.1619	-0.9792	0.3275	0.0656	0.0054	1.0241	0.0078	0.0057	0.0047
AA_CHARGE	Omega_6_pct_UKB	-0.3298	0.2824	-1.1677	0.2429	0.0939	0.0069	1.0337	0.0093	0.0089	0.0042
AA_CHARGE	Omega_6_UKB	0.2577	0.4522	0.5698	0.5688	0.0661	0.007	1.0247	0.0087	-0.0021	0.0047
AA_CHARGE	PD_ieu-b-7	0.1809	0.2102	0.8606	0.3895	0.0127	0.0012	0.9873	0.0059	-0.0054	0.0041
AA_CHARGE	PTSD_31594949	-0.2279	0.3078	-0.7406	0.4589	0.0175	0.0029	1.0196	0.0065	-0.004	0.0051
AA_CHARGE	PUFA_pct_UKB	-0.063	0.1829	-0.3446	0.7304	0.1104	0.007	1.0293	0.009	0.0085	0.0043
AA_CHARGE	PUFA_UKB	0.5525	0.8258	0.6691	0.5035	0.0675	0.007	1.0326	0.0091	-0.0033	0.0048
AA_CHARGE	SCZ_21926974	-0.1585	0.1386	-1.1435	0.2528	0.2107	0.0136	1.0352	0.0108	0.0077	0.0063
AA_CHARGE	SCZ_23974872	-0.0723	0.1223	-0.5912	0.5544	0.2483	0.012	1.0351	0.0093	0.0016	0.0054
AA_CHARGE	SCZ_25056061	-0.0594	0.0969	-0.6131	0.5398	861.8561	39.4075	1.1205	0.0132	0.0045	0.0072
AA_CHARGE	TS_30818990	0.0226	0.2451	0.092	0.9267	0.3472	0.0416	1.016	0.0079	-0.0033	0.0047
AD_30617256	AA_CHARGE	-0.0463	0.2733	-0.1694	0.8655	0.0386	0.0486	1.0125	0.0064	-0.0011	0.005
AD_30617256	AD_30617256	1	3.95E-06	253430.5239	0	0.011	0.0012	0.9971	0.0081	0.9971	0.0081
AD_30617256	ADD_30336701_C	-0.0303	0.063	-0.4818	0.63	0.0774	0.0048	1.0016	0.007	-0.0034	0.005
AD_30617256	ADD_30336701_P	0.0411	0.0776	0.5296	0.5964	0.0551	0.0044	1.0064	0.0068	0.0068	0.005
AD_30617256	ADD_30336701_T	-0.0177	0.0623	-0.2843	0.7762	0.0836	0.0049	1.0061	0.0069	-0.0015	0.005
AD_30617256	ADHD_30478444	0.1037	0.0603	1.7182	0.0858	0.2099	0.0129	1.043	0.0096	0.0034	0.0057
AD_30617256	AdrA_CHARGE	-0.4833	0.3185	-1.5176	0.1291	0.0588	0.055	1.0051	0.0076	0.0047	0.0051
AD_30617256	ALA_CHARGE	NA	NA	NA	NA	-0.0186	0.0561	1.0096	0.0067	-0.0066	0.0045
AD_30617256	AN_28494655	-0.0607	0.1002	-0.606	0.5445	0.215	0.0369	1.0127	0.0081	0.0042	0.0055
AD_30617256	AN_31308545	-0.0132	0.0638	-0.2067	0.8362	0.1614	0.0111	1.0322	0.0107	0.0033	0.0068
AD_30617256	ANX_26754954	0.1114	0.1671	0.6663	0.5052	0.0752	0.03	1.0028	0.0077	0.0003	0.0061
AD_30617256	ASD_28540026	0.0931	0.0783	1.1885	0.2346	0.2905	0.0342	0.9652	0.0077	0.0006	0.0053
AD_30617256	ASD_30804558	0.0146	0.0615	0.2366	0.8129	0.1856	0.0153	1.0113	0.0092	0.0002	0.0057
AD_30617256	BIP_21926972	0.1669	0.0723	2.3078	0.021	0.4544	0.0409	1.006	0.0106	-0.0047	0.0062
AD_30617256	BIP_31043756	0.1541	0.0577	2.6702	0.0076	0.3067	0.0154	1.0339	0.0103	-0.0025	0.0065
AD_30617256	BIP_34002096	0.1128	0.0469	2.4044	0.0162	0.0565	0.0022	1.0582	0.0101	0.0075	0.0054
AD_30617256	CDG_23453885	0.1563	0.0736	2.1242	0.0337	0.1617	0.0111	1.0293	0.0108	-0.0003	0.0068
AD_30617256	CDG_29906448	0.1079	0.0417	2.5878	0.0097	0.2736	0.0094	1.0697	0.0104	0.0044	0.0064
AD_30617256	CDG_31926635	0.1898	0.0522	3.638	0.0003	0.0663	0.0025	1.0586	0.01	0.0078	0.0058
AD_30617256	DE_ukb-b-20045	0.2208	0.0931	2.3725	0.0177	0.0069	0.0013	1.0035	0.0085	0.0119	0.0055
AD_30617256	DGLA_CHARGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AD_30617256	DHA_CHARGE	0.042	0.1817	0.231	0.8173	0.0962	0.0498	0.9988	0.007	-0.0044	0.0047
AD_30617256	DHA_pct_UKB	-0.1608	0.0579	-2.7773	0.0055	0.0936	0.0066	1.0158	0.0084	0.002	0.0048
AD_30617256	DHA_UKB	-0.0686	0.068	-1.0088	0.3131	0.0789	0.0059	1.0304	0.0087	-0.0014	0.0048
AD_30617256	DPA_CHARGE	-0.4554	0.2836	-1.6059	0.1083	0.0601	0.048	1.0091	0.0062	0.0031	0.0043
AD_30617256	EPA_CHARGE	NA	NA	NA	NA	-0.282	0.0493	1.0714	0.0066	-0.0087	0.0046
AD_30617256	GLA_CHARGE	NA	NA	NA	NA	-0.1048	0.049	1.0228	0.0063	-0.007	0.0044
AD_30617256	INS_ukb-b-3957	0.1484	0.0448	3.3141	0.0009	0.0515	0.0016	1.0472	0.0087	0.0156	0.0051
AD_30617256	LA_CHARGE	0.0613	0.2409	0.2545	0.7991	0.0487	0.0467	1.006	0.0065	0.0014	0.0044
AD_30617256	LA_pct_UKB	-0.15	0.0606	-2.477	0.0133	0.0976	0.0059	1.0266	0.0079	-0.0076	0.0051
AD_30617256	LA_UKB	0.0347	0.0733	0.4736	0.6358	0.0685	0.0068	1.018	0.0092	-0.0089	0.0052
AD_30617256	MDD_22472876	0.0685	0.1066	0.643	0.5202	0.1608	0.0287	1.0159	0.0084	0.011	0.0061
AD_30617256	MDD_30718901	0.1194	0.044	2.713	0.0067	0.0502	0.0018	1.0211	0.0091	0.0237	0.0049
AD_30617256	MooD_ukb-d-KRA_PSY_MOOD	0.0656	0.1103	0.5945	0.5522	0.0057	0.0013	0.9962	0.007	0.0007	0.0049
AD_30617256	OCD_28761083	-0.1948	0.1022	-1.9051	0.0568	0.3302	0.0462	0.9892	0.0071	0.0077	0.0054
AD_30617256	Omega_3_pct_UKB	-0.0866	0.0673	-1.2864	0.1983	0.073	0.0056	1.0236	0.0081	0.0003	0.0048
AD_30617256	Omega_3_UKB	0.0143	0.0748	0.1907	0.8488	0.0686	0.0057	1.036	0.0087	-0.0026	0.0049
AD_30617256	Omega_6_by_Omega_3_UKB	0.0159	0.0718	0.2218	0.8245	0.0652	0.0053	1.027	0.0081	-0.0002	0.0047
AD_30617256	Omega_6_pct_UKB	-0.177	0.0595	-2.974	0.0029	0.095	0.0066	1.035	0.0091	-0.0029	0.0049
AD_30617256	Omega_6_UKB	0.0772	0.0758	1.0177	0.3088	0.0685	0.007	1.0228	0.0094	-0.0079	0.0053
AD_30617256	PD_ieu-b-7	0.1692	0.0593	2.8519	0.0043	0.0128	0.0012	0.9885	0.0065	0.0124	0.0043
AD_30617256	PTSD_31594949	0.0966	0.1065	0.907	0.3644	0.0164	0.003	1.0234	0.0068	0.0122	0.0053
AD_30617256	PUFA_pct_UKB	-0.1784	0.0552	-3.2304	0.0012	0.1103	0.0067	1.0327	0.0089	-0.0031	0.005
AD_30617256	PUFA_UKB	0.0645	0.0777	0.83	0.4065	0.0701	0.0069	1.0307	0.0093	-0.0066	0.0053
AD_30617256	SCZ_21926974	0.0889	0.067	1.3256	0.185	0.2165	0.013	1.0308	0.0108	0.0021	0.0075
AD_30617256	SCZ_23974872	0.0999	0.0511	1.956	0.0505	0.2548	0.0126	1.0299	0.0091	-0.0017	0.006
AD_30617256	SCZ_25056061	0.0784	0.0504	1.5564	0.1196	863.3658	38.1836	1.1197	0.013	0.0107	0.0069
AD_30617256	TS_30818990	-0.011	0.082	-0.1338	0.8936	0.3423	0.0409	1.0181	0.0076	0.012	0.0049
ADD_30336701_C	AA_CHARGE	-0.3106	0.2837	-1.095	0.2735	0.0403	0.0498	1.0106	0.0062	0.0059	0.0045
ADD_30336701_C	AD_30617256	-0.0303	0.063	-0.4818	0.63	0.0109	0.0013	0.9975	0.0079	-0.0034	0.005
ADD_30336701_C	ADD_30336701_C	1	1.46E-06	682876.0082	0	0.0781	0.0049	1.0011	0.0066	1.0011	0.0066
ADD_30336701_C	ADD_30336701_P	0.6821	0.0408	16.6985	1.34E-62	0.054	0.0045	1.0066	0.0062	0.3805	0.0051
ADD_30336701_C	ADD_30336701_T	0.9849	0.0023	437.6044	0	0.084	0.005	1.0052	0.0066	0.9635	0.0064
ADD_30336701_C	ADHD_30478444	-0.0923	0.0433	-2.1305	0.0331	0.2105	0.013	1.042	0.0094	-0.0076	0.0056
ADD_30336701_C	AdrA_CHARGE	-0.1126	0.1765	-0.6381	0.5234	0.067	0.055	1.0031	0.007	-0.0046	0.0053
ADD_30336701_C	ALA_CHARGE	NA	NA	NA	NA	-0.0037	0.0601	1.0062	0.0071	-0.0067	0.0044
ADD_30336701_C	AN_28494655	0.0879	0.0768	1.1447	0.2523	0.2146	0.0353	1.013	0.0077	-0.0093	0.006
ADD_30336701_C	AN_31308545	4.24E-05	0.0523	0.0008	0.9994	0.1608	0.0113	1.0328	0.0108	-0.0161	0.0077
ADD_30336701_C	ANX_26754954	0.0915	0.1225	0.7471	0.455	0.0733	0.0309	1.0024	0.0077	-0.0122	0.0061
ADD_30336701_C	ASD_28540026	0.0455	0.0598	0.7613	0.4465	0.2916	0.0323	0.9649	0.0075	0.0051	0.005
ADD_30336701_C	ASD_30804558	-0.1031	0.0578	-1.785	0.0743	0.1832	0.0152	1.0132	0.0091	0.0015	0.007
ADD_30336701_C	BIP_21926972	0.109	0.0632	1.7239	0.0847	0.4509	0.039	1.0063	0.01	-0.0059	0.0078
ADD_30336701_C	BIP_31043756	0.0439	0.0411	1.069	0.2851	0.3064	0.0149	1.0336	0.0095	-0.0057	0.0065
ADD_30336701_C	BIP_34002096	0.0119	0.0341	0.3506	0.7259	0.0567	0.0023	1.0573	0.0102	-0.0071	0.0061
ADD_30336701_C	CDG_23453885	0.0099	0.0544	0.1821	0.8555	0.1611	0.0116	1.03	0.0106	-0.0004	0.0075
ADD_30336701_C	CDG_29906448	0.0112	0.0334	0.3346	0.7379	0.2738	0.0095	1.0698	0.0102	-0.0058	0.0066
ADD_30336701_C	CDG_31926635	-0.0763	0.0394	-1.9373	0.0527	0.0668	0.0026	1.0568	0.0099	-0.0316	0.0062
ADD_30336701_C	DE_ukb-b-20045	-0.1621	0.0794	-2.0404	0.0413	0.0066	0.0012	1.0067	0.0078	-0.0145	0.0057
ADD_30336701_C	DGLA_CHARGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADD_30336701_C	DHA_CHARGE	-0.0142	0.1267	-0.1125	0.9104	0.0935	0.0503	0.9987	0.0064	0.0002	0.0044
ADD_30336701_C	DHA_pct_UKB	0.2183	0.041	5.32	1.04E-07	0.0949	0.0064	1.0138	0.0084	0.0389	0.005
ADD_30336701_C	DHA_UKB	0.2314	0.0415	5.5797	2.41E-08	0.08	0.0058	1.0288	0.0086	0.0511	0.0045
ADD_30336701_C	DPA_CHARGE	-0.1625	0.1455	-1.1171	0.2639	0.0727	0.0478	1.0059	0.0065	-0.0012	0.0048
ADD_30336701_C	EPA_CHARGE	NA	NA	NA	NA	-0.2587	0.0469	1.0654	0.0064	-0.0017	0.0045
ADD_30336701_C	GLA_CHARGE	NA	NA	NA	NA	-0.102	0.05	1.0208	0.0063	-0.006	0.0045
ADD_30336701_C	INS_ukb-b-3957	-0.0254	0.0317	-0.801	0.4231	0.0517	0.0017	1.0471	0.0079	0.0046	0.0053
ADD_30336701_C	LA_CHARGE	0.2158	0.2158	0.9999	0.3173	0.0476	0.0464	1.0056	0.0061	-0.0003	0.0048
ADD_30336701_C	LA_pct_UKB	0.0166	0.0415	0.3995	0.6895	0.0965	0.0057	1.0289	0.0077	-0.0266	0.0048
ADD_30336701_C	LA_UKB	-0.001	0.0513	-0.02	0.984	0.0672	0.0068	1.0211	0.0088	0.0087	0.0052
ADD_30336701_C	MDD_22472876	-0.2279	0.0851	-2.6779	0.0074	0.1607	0.0292	1.0162	0.0086	0.0022	0.0067
ADD_30336701_C	MDD_30718901	-0.1142	0.0355	-3.2153	0.0013	0.0502	0.0017	1.021	0.0092	-0.0315	0.0055
ADD_30336701_C	MooD_ukb-d-KRA_PSY_MOOD	-0.005	0.0887	-0.0559	0.9554	0.0059	0.0012	0.9943	0.0066	-0.0091	0.0049
ADD_30336701_C	OCD_28761083	0.0732	0.0673	1.0888	0.2762	0.3176	0.0494	0.9918	0.0073	-0.017	0.0049
ADD_30336701_C	Omega_3_pct_UKB	0.1467	0.0432	3.3988	0.0007	0.0741	0.0055	1.0223	0.0077	0.0347	0.0049
ADD_30336701_C	Omega_3_UKB	0.1231	0.0437	2.817	0.0048	0.0687	0.0057	1.0363	0.0085	0.0393	0.0046
ADD_30336701_C	Omega_6_by_Omega_3_UKB	-0.1142	0.0439	-2.6008	0.0093	0.0658	0.0053	1.0266	0.0079	-0.0369	0.0047
ADD_30336701_C	Omega_6_pct_UKB	0.0586	0.0408	1.4364	0.1509	0.0937	0.0067	1.0375	0.0091	-0.0218	0.0049
ADD_30336701_C	Omega_6_UKB	0.0489	0.0504	0.9702	0.332	0.0668	0.007	1.0263	0.0091	0.0186	0.0051
ADD_30336701_C	PD_ieu-b-7	0.04	0.0605	0.6609	0.5087	0.0129	0.0012	0.9872	0.0061	-0.0004	0.0051
ADD_30336701_C	PTSD_31594949	-0.2221	0.0769	-2.8876	0.0039	0.0167	0.0029	1.0225	0.0064	-0.0219	0.005
ADD_30336701_C	PUFA_pct_UKB	0.0934	0.0393	2.3808	0.0173	0.1103	0.0067	1.0326	0.0092	-0.0063	0.0052
ADD_30336701_C	PUFA_UKB	0.0797	0.0503	1.5828	0.1135	0.0682	0.007	1.0347	0.0092	0.0254	0.0051
ADD_30336701_C	SCZ_21926974	0.0015	0.0478	0.0314	0.9749	0.2154	0.0127	1.0323	0.0106	-0.0007	0.0074
ADD_30336701_C	SCZ_23974872	-0.0139	0.0377	-0.3693	0.7119	0.254	0.0125	1.0313	0.0091	0.0017	0.006
ADD_30336701_C	SCZ_25056061	0.0212	0.0379	0.5581	0.5767	861.8969	39.0226	1.1211	0.013	-0.0065	0.0071
ADD_30336701_C	TS_30818990	-0.1589	0.0628	-2.5322	0.0113	0.3462	0.0415	1.016	0.0076	0.0058	0.0055
ADD_30336701_P	AA_CHARGE	0.0155	0.2056	0.0754	0.9399	0.0414	0.0498	1.0105	0.0062	-0.0012	0.0044
ADD_30336701_P	AD_30617256	0.0411	0.0776	0.5296	0.5964	0.0109	0.0012	0.9973	0.0079	0.0068	0.005
ADD_30336701_P	ADD_30336701_C	0.6821	0.0408	16.6985	1.34E-62	0.0773	0.0048	1.0014	0.0066	0.3805	0.0051
ADD_30336701_P	ADD_30336701_P	1	3.44E-06	290761.1372	0	0.0555	0.0046	1.0056	0.0061	1.0056	0.0061
ADD_30336701_P	ADD_30336701_T	0.7923	0.0285	27.7681	1.05E-169	0.0836	0.005	1.0052	0.0066	0.5971	0.0055
ADD_30336701_P	ADHD_30478444	0.2436	0.0541	4.5039	6.67E-06	0.211	0.013	1.0419	0.0093	-0.0087	0.0063
ADD_30336701_P	AdrA_CHARGE	-0.0393	0.192	-0.2047	0.8378	0.066	0.0547	1.0032	0.007	-0.0019	0.0051
ADD_30336701_P	ALA_CHARGE	NA	NA	NA	NA	-0.0027	0.0604	1.0061	0.007	-0.0018	0.0039
ADD_30336701_P	AN_28494655	0.105	0.0881	1.1918	0.2333	0.2157	0.0352	1.0129	0.0076	-0.0078	0.0053
ADD_30336701_P	AN_31308545	0.058	0.053	1.0958	0.2732	0.1612	0.0112	1.0326	0.0107	-0.0044	0.0073
ADD_30336701_P	ANX_26754954	0.423	0.1604	2.6369	0.0084	0.0734	0.0311	1.0024	0.0077	-0.009	0.0058
ADD_30336701_P	ASD_28540026	0.1379	0.0669	2.0602	0.0394	0.2898	0.0323	0.9652	0.0075	1.00E-04	0.0052
ADD_30336701_P	ASD_30804558	0.1826	0.0595	3.0709	0.0021	0.1837	0.0153	1.013	0.0091	-0.0072	0.0058
ADD_30336701_P	BIP_21926972	0.2787	0.0691	4.0344	5.47E-05	0.4516	0.039	1.0064	0.01	-0.0077	0.0069
ADD_30336701_P	BIP_31043756	0.2773	0.0462	6.0031	1.94E-09	0.3066	0.0149	1.0336	0.0094	-0.0092	0.0061
ADD_30336701_P	BIP_34002096	0.2828	0.0407	6.9458	3.76E-12	0.0566	0.0023	1.0575	0.0103	-0.0022	0.006
ADD_30336701_P	CDG_23453885	0.3313	0.0605	5.4729	4.43E-08	0.1607	0.0115	1.0304	0.0104	-0.0034	0.0074
ADD_30336701_P	CDG_29906448	0.2285	0.0374	6.1052	1.03E-09	0.2737	0.0095	1.0699	0.0101	-5.43E-05	0.0067
ADD_30336701_P	CDG_31926635	0.3271	0.0484	6.7554	1.42E-11	0.0669	0.0027	1.0565	0.01	0.0435	0.0065
ADD_30336701_P	DE_ukb-b-20045	0.3042	0.0915	3.3229	0.0009	0.0065	0.0012	1.0068	0.0078	0.0083	0.0054
ADD_30336701_P	DGLA_CHARGE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADD_30336701_P	DHA_CHARGE	0.0805	0.1375	0.5853	0.5583	0.0943	0.0507	0.9986	0.0064	-0.0035	0.0045
ADD_30336701_P	DHA_pct_UKB	0.0532	0.0495	1.0743	0.2827	0.0952	0.0065	1.0136	0.0084	0.0032	0.0047
ADD_30336701_P	DHA_UKB	0.1491	0.0546	2.7285	0.0064	0.0803	0.0059	1.0287	0.0085	0.0093	0.0048
ADD_30336701_P	DPA_CHARGE	-0.1315	0.158	-0.8322	0.4053	0.0728	0.0474	1.006	0.0065	-0.0041	0.0048
ADD_30336701_P	EPA_CHARGE	NA	NA	NA	NA	-0.2587	0.0467	1.0653	0.0064	0.0006	0.0045
ADD_30336701_P	GLA_CHARGE	NA	NA	NA	NA	-0.1017	0.0501	1.0209	0.0062	-0.0138	0.0047
ADD_30336701_P	INS_ukb-b-3957	0.1379	0.0349	3.9545	7.67E-05	0.0517	0.0017	1.0471	0.008	0.0382	0.005
ADD_30336701_P	LA_CHARGE	-0.1416	0.2024	-0.6995	0.4842	0.0479	0.0464	1.0056	0.0062	0.0061	0.0048
ADD_30336701_P	LA_pct_UKB	-0.2156	0.049	-4.4015	1.08E-05	0.0965	0.0057	1.0288	0.0077	-0.0276	0.0051
ADD_30336701_P	LA_UKB	-0.0001	0.0532	-0.0024	0.9981	0.0672	0.0068	1.021	0.0088	-0.0042	0.0049
ADD_30336701_P	MDD_22472876	0.2618	0.0905	2.892	0.0038	0.1602	0.0291	1.0163	0.0084	-0.0021	0.0065
ADD_30336701_P	MDD_30718901	0.2787	0.0404	6.8944	5.41E-12	0.0502	0.0017	1.0211	0.0092	0.0328	0.0057
ADD_30336701_P	MooD_ukb-d-KRA_PSY_MOOD	0.2001	0.0916	2.1856	0.0288	0.006	0.0012	0.9942	0.0066	0.009	0.0047
ADD_30336701_P	OCD_28761083	0.0231	0.083	0.2778	0.7812	0.3211	0.0483	0.9915	0.0071	-0.005	0.0051
ADD_30336701_P	Omega_3_pct_UKB	0.0656	0.0576	1.139	0.2547	0.0744	0.0055	1.0221	0.0077	0.0023	0.0049
ADD_30336701_P	Omega_3_UKB	0.1522	0.0573	2.6578	0.0079	0.0689	0.0057	1.0362	0.0084	0.007	0.0049
ADD_30336701_P	Omega_6_by_Omega_3_UKB	-0.131	0.0597	-2.1934	0.0283	0.0661	0.0054	1.0264	0.0079	-0.0063	0.0049
ADD_30336701_P	Omega_6_pct_UKB	-0.1986	0.0481	-4.1321	3.59E-05	0.0938	0.0067	1.0374	0.0091	-0.0172	0.0049
ADD_30336701_P	Omega_6_UKB	0.0738	0.0529	1.3959	0.1627	0.0669	0.007	1.0263	0.009	0.0051	0.0047
ADD_30336701_P	PD_ieu-b-7	0.0416	0.0608	0.6839	0.4941	0.0129	0.0012	0.987	0.0062	-0.0037	0.0048
ADD_30336701_P	PTSD_31594949	0.3811	0.0909	4.1903	2.79E-05	0.0168	0.0029	1.0224	0.0065	0.033	0.0046
ADD_30336701_P	PUFA_pct_UKB	-0.1489	0.0458	-3.2497	0.0012	0.1102	0.0067	1.0327	0.0091	-0.0154	0.0047
ADD_30336701_P	PUFA_UKB	0.1068	0.0535	1.9986	0.0457	0.0682	0.007	1.0347	0.0092	0.0062	0.0047
ADD_30336701_P	SCZ_21926974	0.2045	0.0562	3.6413	0.0003	0.2156	0.0127	1.0322	0.0106	-0.0024	0.0071
ADD_30336701_P	SCZ_23974872	0.2058	0.0463	4.4408	8.96E-06	0.2537	0.0125	1.0314	0.009	-0.0029	0.0061
ADD_30336701_P	SCZ_25056061	0.2322	0.0429	5.4068	6.42E-08	861.8166	38.7492	1.1212	0.013	-0.0016	0.0071
ADD_30336701_P	TS_30818990	-0.0932	0.0732	-1.2737	0.2028	0.3489	0.0411	1.0158	0.0075	0.0008	0.0049
ADD_30336701_T	AA_CHARGE	-0.3173	0.2871	-1.1049	0.2692	0.0408	0.0503	1.0106	0.0063	0.0056	0.0046
ADD_30336701_T	AD_30617256	-0.0177	0.0623	-0.2843	0.7762	0.0109	0.0012	0.9976	0.0079	-0.0015	0.005
ADD_30336701_T	ADD_30336701_C	0.9849	0.0023	437.6044	0	0.0764	0.0048	1.0017	0.0065	0.9635	0.0064
ADD_30336701_T	ADD_30336701_P	0.7923	0.0285	27.7681	1.05E-169	0.0532	0.0045	1.0069	0.0062	0.5971	0.0055
ADD_30336701_T	ADD_30336701_T	1	1.84E-06	542836.1968	0	0.0844	0.005	1.0052	0.0066	1.0052	0.0066
ADD_30336701_T	ADHD_30478444	-0.0189	0.0435	-0.4347	0.6638	0.2105	0.013	1.042	0.0094	-0.009	0.0056
ADD_30336701_T	AdrA_CHARGE	-0.1573	0.178	-0.884	0.3767	0.067	0.0547	1.0031	0.0069	-0.0032	0.0052
ADD_30336701_T	ALA_CHARGE	NA	NA	NA	NA	-0.0034	0.0601	1.0061	0.0071	-0.0061	0.0044
ADD_30336701_T	AN_28494655	0.1114	0.0725	1.5373	0.1242	0.2139	0.0353	1.013	0.0077	-0.0112	0.0058
ADD_30336701_T	AN_31308545	0.0249	0.0498	0.501	0.6164	0.1608	0.0113	1.0327	0.0108	-0.0162	0.0079
ADD_30336701_T	ANX_26754954	0.1658	0.1244	1.3329	0.1826	0.0727	0.031	1.0025	0.0077	-0.0132	0.006
