p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
ANX	ADHD	0.3008	0.1314	2.2901	0.022	0.2334	0.0164	1.0419	0.0116	0.004	0.0071
ANX	AN	0.0894	0.1771	0.505	0.6135	0.2464	0.0379	1.0081	0.0075	0.0095	0.0054
ANX	ANX	0.9999	6.2329e-05	16042.6554	0.0	0.0612	0.0229	1.0009	0.0066	1.0009	0.0066
ANX	ASD	0.2607	0.1371	1.9011	0.0573	0.194	0.0182	1.0114	0.0109	-0.0024	0.0067
ANX	BIP	0.2	0.1054	1.8975	0.0578	0.3428	0.0183	1.0321	0.0112	0.0078	0.0062
ANX	CDG	0.3781	0.1383	2.7341	0.0063	0.1629	0.0134	1.0296	0.012	0.0859	0.0069
ANX	DHA	0.0787	0.098	0.8029	0.422	0.1119	0.0128	1.0752	0.0468	-0.0021	0.0053
ANX	DHA_pct	0.2341	0.1155	2.0262	0.0427	0.1245	0.012	1.0382	0.0341	-0.0051	0.0059
ANX	LA	-0.0987	0.1003	-0.9844	0.3249	0.1219	0.0262	1.036	0.0364	0.0023	0.0055
ANX	LA_pct	0.2375	0.1038	2.2881	0.0221	0.1228	0.0149	1.0501	0.0305	-0.0035	0.005
ANX	MDD	0.8924	0.1676	5.3239	1.0157e-07	0.0285	0.0019	0.9989	0.0106	0.0778	0.0063
ANX	MUFA	-0.2572	0.1006	-2.5553	0.0106	0.184	0.0308	1.0072	0.0245	0.0045	0.0059
ANX	MUFA_pct	-0.2827	0.1057	-2.6753	0.0075	0.217	0.0322	1.0386	0.0317	0.0061	0.0065
ANX	OCD	0.2989	0.1856	1.6101	0.1074	0.3003	0.0517	0.9999	0.0075	0.0027	0.0053
ANX	Omega_3	-0.0595	0.0922	-0.6448	0.5191	0.1182	0.0201	1.08	0.0553	0.0002	0.0052
ANX	Omega_3_pct	0.0927	0.1051	0.8821	0.3777	0.0952	0.0133	1.0803	0.0609	-0.0026	0.0053
ANX	Omega_6_by_Omega_3	0.0024	0.1008	0.0241	0.9808	0.0909	0.0143	1.0846	0.059	0.0014	0.0051
ANX	Omega_6	-0.1576	0.1017	-1.5501	0.1211	0.1221	0.0275	1.0446	0.0398	0.0035	0.0056
ANX	Omega_6_pct	0.2372	0.1019	2.3267	0.02	0.1489	0.0216	1.0293	0.0252	-0.0024	0.0054
ANX	PTSD	0.044	0.3232	0.136	0.8918	0.0321	0.0191	1.0062	0.0065	0.0099	0.0042
ANX	PUFA_by_MUFA	0.2676	0.1042	2.567	0.0103	0.2023	0.0272	1.031	0.027	-0.0044	0.0063
ANX	PUFA	-0.1294	0.0924	-1.4006	0.1613	0.1417	0.0297	1.0472	0.0393	0.0025	0.0055
ANX	PUFA_pct	0.241	0.1032	2.3358	0.0195	0.1697	0.0216	1.0169	0.0194	-0.0031	0.0059
ANX	SCZ	0.2695	0.0829	3.2504	0.0012	0.4684	0.0199	1.0571	0.0144	0.0112	0.0068
ANX	TS	0.1478	0.1382	1.0693	0.2849	0.3827	0.0483	1.0174	0.0089	0.0021	0.0054
ASD	ADHD	0.3459	0.0511	6.7648	1.3345e-11	0.2359	0.0153	1.0332	0.0101	0.3626	0.0073
ASD	AN	-0.0752	0.0784	-0.9598	0.3372	0.2394	0.0382	1.0099	0.0087	0.0169	0.0061
ASD	ANX	0.2607	0.1371	1.9011	0.0573	0.0653	0.0236	0.9988	0.0081	-0.0024	0.0067
ASD	ASD	1.0	8.4849e-07	1.1786e+06	0.0	0.1946	0.0169	1.008	0.0097	1.008	0.0097
ASD	BIP	0.1373	0.0475	2.8886	0.0039	0.3231	0.0191	1.0486	0.0115	0.0134	0.0074
ASD	CDG	0.4603	0.0461	9.9922	1.6490e-23	0.1643	0.0131	1.0253	0.0117	0.1716	0.0083
ASD	DHA	0.0244	0.0465	0.5244	0.6	0.1016	0.0135	1.0884	0.0542	0.0058	0.0066
ASD	DHA_pct	0.0491	0.062	0.7911	0.4289	0.1187	0.0111	1.042	0.0394	0.0047	0.0084
ASD	LA	-0.0515	0.0657	-0.7841	0.433	0.1169	0.0291	1.041	0.049	0.0047	0.0082
ASD	LA_pct	0.007	0.0546	0.1279	0.8982	0.1179	0.0166	1.0553	0.0373	0.0016	0.0077
ASD	MDD	0.4105	0.0399	10.2769	8.9517e-25	0.0282	0.0018	0.9985	0.0107	0.1556	0.0064
ASD	MUFA	-0.0639	0.0645	-0.9912	0.3216	0.1828	0.0312	1.0034	0.0298	0.0042	0.0097
ASD	MUFA_pct	-0.0815	0.0625	-1.3038	0.1923	0.2096	0.0299	1.0468	0.0388	0.0046	0.0103
ASD	OCD	0.1185	0.0827	1.4336	0.1517	0.3357	0.056	0.99	0.0084	-0.0003	0.0063
ASD	Omega_3	-0.0365	0.0521	-0.6999	0.484	0.1114	0.0213	1.0852	0.0622	0.0078	0.0075
ASD	Omega_3_pct	-0.011	0.0513	-0.2144	0.8302	0.0869	0.0147	1.0898	0.0712	0.0075	0.0071
ASD	Omega_6_by_Omega_3	0.0325	0.0532	0.6107	0.5414	0.0851	0.0152	1.0879	0.0648	-0.0074	0.0073
ASD	Omega_6	-0.0351	0.0669	-0.525	0.5996	0.1164	0.0311	1.0514	0.0529	0.004	0.0083
ASD	Omega_6_pct	0.0502	0.0587	0.8549	0.3926	0.1473	0.0224	1.0282	0.0307	-0.0025	0.0086
ASD	PTSD	0.1683	0.1494	1.1264	0.26	0.0424	0.0189	1.0027	0.0069	0.0069	0.0055
ASD	PUFA_by_MUFA	0.0635	0.0602	1.0559	0.291	0.1966	0.0256	1.0364	0.0324	-0.0013	0.0096
ASD	PUFA	-0.035	0.06	-0.5838	0.5594	0.1352	0.0334	1.055	0.0523	0.0054	0.008
ASD	PUFA_pct	0.029	0.0557	0.5211	0.6023	0.167	0.0216	1.0172	0.0227	0.0032	0.0084
ASD	SCZ	0.2149	0.0465	4.6261	3.7269e-06	0.4328	0.0201	1.1033	0.0156	0.0162	0.0091
ASD	TS	0.129	0.0609	2.1186	0.0341	0.3962	0.0485	1.012	0.0089	0.0057	0.0058
BIP	ADHD	0.1205	0.0381	3.1621	0.0016	0.2442	0.0166	1.024	0.0117	0.0398	0.0067
BIP	AN	0.1887	0.056	3.3703	0.0008	0.2368	0.039	1.0103	0.0086	0.087	0.0062
BIP	ANX	0.2	0.1054	1.8975	0.0578	0.0587	0.0215	1.0025	0.0074	0.0078	0.0062
BIP	ASD	0.1373	0.0475	2.8886	0.0039	0.1986	0.0168	1.0044	0.0104	0.0134	0.0074
BIP	BIP	1.0	4.0148e-07	2.4908e+06	0.0	0.3477	0.0175	1.02	0.0101	1.02	0.0101
BIP	CDG	0.7742	0.0311	24.881	1.1963e-136	0.1705	0.0129	1.0155	0.0117	0.3247	0.0095
BIP	DHA	-0.1293	0.0349	-3.7084	0.0002	0.1063	0.0135	1.0761	0.0524	0.0129	0.007
BIP	DHA_pct	-0.1318	0.0324	-4.065	4.8037e-05	0.1201	0.0114	1.0381	0.0392	0.011	0.007
BIP	LA	-0.0134	0.0347	-0.3859	0.6996	0.1293	0.0249	1.0096	0.0297	0.003	0.0065
BIP	LA_pct	-0.0316	0.037	-0.8553	0.3924	0.1259	0.0119	1.0339	0.0256	-0.0031	0.0068
BIP	MDD	0.3452	0.0318	10.841	2.2017e-27	0.0285	0.0017	0.995	0.0097	0.0811	0.0069
BIP	MUFA	0.0325	0.034	0.9535	0.3403	0.1854	0.0306	0.9934	0.0257	-0.0001	0.0071
BIP	MUFA_pct	0.0666	0.0316	2.1055	0.0352	0.2208	0.0297	1.0182	0.0312	-0.0068	0.0075
BIP	OCD	0.3106	0.0694	4.474	7.6769e-06	0.3476	0.0493	0.9867	0.0074	0.0376	0.0069
BIP	Omega_3	-0.0886	0.0369	-2.4031	0.0163	0.1145	0.0232	1.0736	0.062	0.0138	0.0071
BIP	Omega_3_pct	-0.1307	0.0416	-3.145	0.0017	0.0889	0.019	1.0818	0.0716	0.0145	0.0072
BIP	Omega_6_by_Omega_3	0.1081	0.0415	2.6043	0.0092	0.088	0.0185	1.0774	0.065	-0.0129	0.0071
BIP	Omega_6	-0.0055	0.0341	-0.1612	0.8719	0.1297	0.0261	1.0171	0.0329	0.0046	0.0066
BIP	Omega_6_pct	-0.0332	0.0369	-0.8991	0.3686	0.1515	0.0204	1.0152	0.021	-0.0008	0.0069
BIP	PTSD	0.0172	0.103	0.1672	0.8672	0.0324	0.0199	1.0079	0.0067	0.0132	0.0049
BIP	PUFA_by_MUFA	-0.0698	0.0324	-2.1522	0.0314	0.204	0.0251	1.0163	0.0252	0.0075	0.0073
BIP	PUFA	-0.0167	0.0336	-0.4981	0.6184	0.1473	0.0294	1.0234	0.0365	0.0069	0.0066
BIP	PUFA_pct	-0.063	0.0355	-1.7758	0.0758	0.1692	0.0199	1.0096	0.0156	0.0059	0.0068
BIP	SCZ	0.689	0.0208	33.0605	1.0990e-239	0.4736	0.0194	1.0362	0.0131	0.2327	0.0085
BIP	TS	0.0705	0.0508	1.3885	0.165	0.3964	0.0447	1.011	0.0082	0.0549	0.0062
CDG	ADHD	0.2678	0.0463	5.7868	7.1754e-09	0.2451	0.0175	1.0211	0.0138	0.1057	0.008
CDG	AN	0.1956	0.0732	2.6717	0.0075	0.2403	0.0423	1.0108	0.0106	0.087	0.007
CDG	ANX	0.3781	0.1383	2.7341	0.0063	0.0634	0.0254	0.9996	0.009	0.0859	0.0069
CDG	ASD	0.4603	0.0461	9.9922	1.6490e-23	0.2056	0.0194	0.9963	0.012	0.1716	0.0083
CDG	BIP	0.7742	0.0311	24.881	1.1963e-136	0.3418	0.0203	1.0258	0.0129	0.3247	0.0095
CDG	CDG	1.0	5.9156e-06	169045.2113	0.0	0.1727	0.0129	1.0123	0.0111	1.0123	0.0111
CDG	DHA	-0.1253	0.0405	-3.0957	0.002	0.1038	0.0156	1.0705	0.0552	0.0197	0.0078
CDG	DHA_pct	-0.1399	0.0415	-3.3738	0.0007	0.1177	0.0117	1.0332	0.0362	0.0189	0.0074
CDG	LA	-0.0019	0.0354	-0.0535	0.9573	0.1388	0.0256	0.9809	0.0325	0.0078	0.0073
CDG	LA_pct	-0.0564	0.0424	-1.3309	0.1832	0.1339	0.012	1.0126	0.0265	0.0083	0.0079
CDG	MDD	0.5233	0.0373	14.0276	1.0573e-44	0.0291	0.0019	0.9904	0.012	0.1865	0.0079
CDG	MUFA	0.0452	0.0345	1.3095	0.1904	0.1919	0.0317	0.9725	0.0303	-0.0054	0.0069
CDG	MUFA_pct	0.0592	0.0353	1.6759	0.0938	0.2218	0.0301	1.0083	0.0353	-0.0131	0.0075
CDG	OCD	0.3725	0.0763	4.88	1.0608e-06	0.3752	0.0547	0.9788	0.0089	0.0181	0.007
CDG	Omega_3	-0.0989	0.0394	-2.5078	0.0121	0.1141	0.0245	1.0606	0.0598	0.018	0.0077
CDG	Omega_3_pct	-0.1594	0.0474	-3.3657	0.0008	0.0877	0.017	1.0714	0.0598	0.0218	0.0077
CDG	Omega_6_by_Omega_3	0.1292	0.0458	2.8198	0.0048	0.0874	0.0175	1.0665	0.056	-0.0178	0.0076
CDG	Omega_6	0.0076	0.0356	0.2124	0.8318	0.1399	0.0275	0.9854	0.0363	0.0068	0.0074
CDG	Omega_6_pct	-0.0597	0.0392	-1.523	0.1278	0.1607	0.021	0.9914	0.0232	0.0075	0.0072
CDG	PTSD	0.2519	0.131	1.9223	0.0546	0.0484	0.0203	1.0008	0.0074	-0.0012	0.0061
CDG	PUFA_by_MUFA	-0.078	0.0364	-2.1417	0.0322	0.2093	0.0254	0.9988	0.0282	0.0157	0.0074
CDG	PUFA	-0.0109	0.0338	-0.3215	0.7479	0.1553	0.0312	0.9958	0.0438	0.0096	0.0075
CDG	PUFA_pct	-0.1025	0.0387	-2.6491	0.0081	0.1773	0.0206	0.9873	0.0175	0.0164	0.0072
CDG	SCZ	0.9353	0.0255	36.7173	3.8669e-295	0.4708	0.0217	1.0397	0.0173	0.2985	0.0106
CDG	TS	0.2055	0.0677	3.0338	0.0024	0.4022	0.0498	1.0086	0.0098	-0.0128	0.0075
MDD	ADHD	0.538	0.0382	14.094	4.1360e-45	0.2392	0.0163	1.0263	0.0113	0.182	0.0074
MDD	AN	0.1584	0.0694	2.2816	0.0225	0.2408	0.0413	1.0084	0.0091	0.0447	0.0062
MDD	ANX	0.8924	0.1676	5.3239	1.0157e-07	0.0605	0.0213	1.0015	0.0072	0.0778	0.0063
MDD	ASD	0.4105	0.0399	10.2769	8.9517e-25	0.1963	0.0167	1.0061	0.0101	0.1556	0.0064
MDD	BIP	0.3452	0.0318	10.841	2.2017e-27	0.3412	0.0181	1.0242	0.0108	0.0811	0.0069
MDD	CDG	0.5233	0.0373	14.0276	1.0573e-44	0.1685	0.0133	1.017	0.0118	0.1865	0.0079
MDD	DHA	0.1711	0.0379	4.5179	6.2446e-06	0.1029	0.0129	1.0597	0.0392	0.003	0.0063
MDD	DHA_pct	0.2158	0.0365	5.9141	3.3373e-09	0.1162	0.0111	1.0253	0.0243	0.0035	0.0063
MDD	LA	0.026	0.0358	0.7248	0.4686	0.1244	0.0247	1.0137	0.0315	0.0003	0.0063
MDD	LA_pct	0.1993	0.0381	5.228	1.7139e-07	0.1194	0.0123	1.0323	0.023	-0.002	0.0061
MDD	MDD	1.0	1.0601e-07	9.4326e+06	0.0	0.0285	0.0018	0.9945	0.0091	0.9945	0.0091
MDD	MUFA	-0.1401	0.031	-4.5274	5.9725e-06	0.1835	0.0298	0.9928	0.0244	-0.0016	0.0063
MDD	MUFA_pct	-0.2044	0.0313	-6.5271	6.7033e-11	0.2138	0.0281	1.0143	0.0255	-0.0055	0.0066
MDD	OCD	0.2286	0.0662	3.4554	0.0005	0.3498	0.0512	0.9858	0.0071	0.0106	0.0061
MDD	Omega_3	0.061	0.0345	1.7697	0.0768	0.1185	0.0197	1.0495	0.0429	0.004	0.0061
MDD	Omega_3_pct	0.1434	0.0401	3.5749	0.0004	0.095	0.0124	1.0522	0.0418	0.0048	0.006
MDD	Omega_6_by_Omega_3	-0.0777	0.0392	-1.9827	0.0474	0.0929	0.013	1.0517	0.0393	-0.0037	0.0058
MDD	Omega_6	-0.0018	0.033	-0.054	0.957	0.1255	0.0262	1.0214	0.035	0.0022	0.0062
MDD	Omega_6_pct	0.1553	0.0343	4.5323	5.8350e-06	0.149	0.02	1.0175	0.0215	0.0009	0.0063
MDD	PTSD	0.6085	0.2348	2.591	0.0096	0.0281	0.0184	1.01	0.0064	0.0072	0.0056
MDD	PUFA_by_MUFA	0.2034	0.0319	6.3816	1.7530e-10	0.1988	0.0239	1.0132	0.0216	0.0043	0.0066
MDD	PUFA	0.0175	0.0297	0.5881	0.5565	0.143	0.029	1.024	0.0378	0.0025	0.0062
MDD	PUFA_pct	0.1962	0.0333	5.8929	3.7953e-09	0.1665	0.0194	1.0074	0.0161	0.0022	0.0064
MDD	SCZ	0.3664	0.026	14.0847	4.7157e-45	0.4632	0.0193	1.0463	0.0138	0.0601	0.0072
MDD	TS	0.2024	0.056	3.6163	0.0003	0.3813	0.0471	1.014	0.008	0.0196	0.0057
OCD	ADHD	-0.1695	0.0738	-2.2977	0.0216	0.2405	0.0154	1.0297	0.0107	0.0082	0.006
OCD	AN	0.4846	0.1232	3.9328	8.3953e-05	0.2395	0.038	1.0094	0.0078	0.0118	0.0054
OCD	ANX	0.2989	0.1856	1.6101	0.1074	0.0637	0.0229	1.0004	0.0073	0.0027	0.0053
OCD	ASD	0.1185	0.0827	1.4336	0.1517	0.1964	0.0176	1.0065	0.0105	-0.0003	0.0063
OCD	BIP	0.3106	0.0694	4.474	7.6769e-06	0.3443	0.0187	1.0252	0.0109	0.0376	0.0069
OCD	CDG	0.3725	0.0763	4.88	1.0608e-06	0.1698	0.0128	1.0166	0.0112	0.0181	0.007
OCD	DHA	-0.2586	0.0683	-3.7879	0.0002	0.1118	0.0118	1.0651	0.0416	0.0048	0.0056
OCD	DHA_pct	-0.2982	0.0691	-4.3177	1.5765e-05	0.1236	0.0114	1.0307	0.0283	0.0038	0.006
OCD	LA	-0.0152	0.0681	-0.2239	0.8228	0.1247	0.0251	1.0225	0.0342	0.0009	0.006
OCD	LA_pct	-0.1395	0.0674	-2.0705	0.0384	0.123	0.0135	1.0422	0.0262	-0.0051	0.0056
OCD	MDD	0.2286	0.0662	3.4554	0.0005	0.0288	0.0017	0.9933	0.0094	0.0106	0.0061
OCD	MUFA	0.1303	0.0597	2.1818	0.0291	0.1813	0.0293	1.0042	0.0231	0.0027	0.0065
OCD	MUFA_pct	0.2195	0.0601	3.6501	0.0003	0.2147	0.0299	1.0318	0.0267	0.0003	0.0066
OCD	OCD	1.0	1.1192e-06	893489.8177	0.0	0.3217	0.0498	0.9928	0.0068	0.9928	0.0068
OCD	Omega_3	-0.1754	0.0641	-2.7345	0.0062	0.119	0.0189	1.0653	0.0483	0.0089	0.0054
OCD	Omega_3_pct	-0.2858	0.0662	-4.316	1.5887e-05	0.0965	0.0113	1.0672	0.0536	0.0088	0.0053
OCD	Omega_6_by_Omega_3	0.2293	0.0674	3.4005	0.0007	0.0937	0.0123	1.0672	0.0498	-0.0095	0.0053
OCD	Omega_6	-0.0063	0.068	-0.0927	0.9261	0.1241	0.0265	1.0327	0.0371	0.0021	0.0061
OCD	Omega_6_pct	-0.1417	0.0627	-2.2604	0.0238	0.1461	0.0202	1.0283	0.0229	-0.004	0.0061
OCD	PTSD	0.1035	0.1999	0.518	0.6045	0.0377	0.0191	1.0054	0.0064	0.0064	0.0041
OCD	PUFA_by_MUFA	-0.2243	0.0617	-3.6372	0.0003	0.199	0.0251	1.0277	0.0229	0.0003	0.0065
OCD	PUFA	-0.0436	0.0644	-0.6763	0.4988	0.1429	0.0289	1.0363	0.037	0.0041	0.0061
OCD	PUFA_pct	-0.2244	0.0659	-3.4072	0.0007	0.1654	0.0207	1.0184	0.0172	0.0009	0.0062
OCD	SCZ	0.3279	0.0582	5.6357	1.7431e-08	0.4727	0.0199	1.0406	0.0137	0.0334	0.0074
OCD	TS	0.4175	0.0929	4.4944	6.9763e-06	0.389	0.0453	1.0142	0.0079	0.0995	0.0055
PTSD	ADHD	0.5633	0.1662	3.3896	0.0007	0.2366	0.0156	1.0323	0.0103	0.0044	0.0048
PTSD	AN	-0.1138	0.221	-0.5147	0.6068	0.2404	0.038	1.0089	0.0076	0.007	0.0047
PTSD	ANX	0.044	0.3232	0.136	0.8918	0.0612	0.0229	1.0009	0.0066	0.0099	0.0042
PTSD	ASD	0.1683	0.1494	1.1264	0.26	0.1946	0.0169	1.008	0.0097	0.0069	0.0055
PTSD	BIP	0.0172	0.103	0.1672	0.8672	0.3477	0.0174	1.02	0.0101	0.0132	0.0049
PTSD	CDG	0.2519	0.131	1.9223	0.0546	0.1727	0.0129	1.0123	0.0111	-0.0012	0.0061
PTSD	DHA	0.2403	0.191	1.2581	0.2083	0.112	0.0117	1.0684	0.0413	-0.0015	0.0044
PTSD	DHA_pct	0.2626	0.214	1.2273	0.2197	0.1235	0.0114	1.0344	0.0305	-0.0016	0.0047
PTSD	LA	0.0877	0.1662	0.5279	0.5976	0.1216	0.024	1.0302	0.0301	-0.0028	0.0048
PTSD	LA_pct	0.267	0.2023	1.3199	0.1869	0.1211	0.0135	1.0483	0.0255	-0.0072	0.0045
PTSD	MDD	0.6085	0.2348	2.591	0.0096	0.0285	0.0018	0.9945	0.0091	0.0072	0.0056
PTSD	MUFA	-0.1225	0.1731	-0.7075	0.4793	0.1803	0.0285	1.0077	0.0197	0.0004	0.0047
PTSD	MUFA_pct	-0.1695	0.1839	-0.9219	0.3566	0.2114	0.0291	1.0412	0.0259	-0.0013	0.0052
PTSD	OCD	0.1035	0.1999	0.518	0.6045	0.3217	0.0498	0.9928	0.0068	0.0064	0.0041
PTSD	Omega_3	0.1949	0.165	1.1816	0.2374	0.119	0.0184	1.0716	0.0503	-0.0012	0.0043
PTSD	Omega_3_pct	0.3168	0.212	1.4944	0.1351	0.0962	0.0118	1.0723	0.0574	-0.0021	0.0046
PTSD	Omega_6_by_Omega_3	-0.2429	0.187	-1.2986	0.1941	0.0933	0.0129	1.0734	0.0548	0.0011	0.0045
PTSD	Omega_6	0.0326	0.1627	0.2006	0.841	0.1222	0.0252	1.0377	0.0329	-0.0014	0.0047
PTSD	Omega_6_pct	0.2301	0.202	1.1394	0.2546	0.1455	0.0195	1.0309	0.0203	-0.006	0.0046
PTSD	PTSD	1.0	5.9907e-05	16691.6594	0.0	0.0186	0.018	1.0138	0.0057	1.0138	0.0057
PTSD	PUFA_by_MUFA	0.2258	0.1954	1.1554	0.2479	0.1966	0.0246	1.0346	0.0218	-0.0018	0.005
PTSD	PUFA	0.0519	0.1505	0.3452	0.73	0.141	0.0276	1.0413	0.0327	-0.0009	0.0045
PTSD	PUFA_pct	0.2903	0.2113	1.3738	0.1695	0.1637	0.02	1.0228	0.0158	-0.0058	0.0048
PTSD	SCZ	0.1841	0.1215	1.5154	0.1297	0.4719	0.0191	1.0383	0.0122	0.0144	0.0058
PTSD	TS	-0.1807	0.1973	-0.916	0.3597	0.3894	0.045	1.0138	0.008	0.0138	0.0045
SCZ	ADHD	0.1268	0.0361	3.516	0.0004	0.2416	0.0156	1.0267	0.0109	0.0391	0.0088
SCZ	AN	0.2187	0.0538	4.0635	4.8334e-05	0.2347	0.0372	1.0109	0.0081	0.0721	0.0069
SCZ	ANX	0.2695	0.0829	3.2504	0.0012	0.0617	0.022	1.0009	0.0074	0.0112	0.0068
